unique_id,alias,checksum,materialization,tags,meta,owner,database_name,schema_name,depends_on_macros,depends_on_nodes,description,name,package_name,original_path,path,patch_path,generated_at,metadata_hash
model.view_selection_tool.all_models_plus_code,all_models_plus_code,7de3932f7adbf0970e6925bb818f981db7656cb68af439f09807d4cd104558b0,table,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_join_with_run_results""]","",all_models_plus_code,view_selection_tool,models\marts\all_models_plus_code.sql,marts\all_models_plus_code.sql,,2024-03-08 10:52:44,787cb4d047c32d04f6b9230667027c2a
model.elementary.dbt_invocations,dbt_invocations,6ec0cb09a0a3991db91ebd8a52625cc508faa4aac958138022aeaa3abb960755,incremental,[],"{""timestamp_column"": ""created_at"", ""prev_timestamp_column"": ""generated_at""}",[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_invocations_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type""]",[],"Attributes associated with each dbt invocation. Inserted at the end of each invocation.
",dbt_invocations,elementary,models\edr\dbt_artifacts\dbt_invocations.sql,edr\dbt_artifacts\dbt_invocations.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,799fed152e711bd05065e1c37c295efa
model.elementary.dbt_metrics,dbt_metrics,86136f6682874137b3f9277098edf419c918548c440e1cd03c29f930d13d6dca,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_metrics_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_metrics""]",[],"Metadata about metrics in the project, including configuration and properties from the dbt graph. Each row contains information about a single metric. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_metrics,elementary,models\edr\dbt_artifacts\dbt_metrics.sql,edr\dbt_artifacts\dbt_metrics.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,a2b6426017ef8a3514acb02fdba2bc44
model.elementary.dbt_models,dbt_models,3b137ff6fc5007c98c2cce8c57010d5a8386ed4f9d217b08506e9106ab9168fd,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_models_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_models""]",[],"Metadata about models in the project, including configuration and properties from the dbt graph. Each row contains information about a single model. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_models,elementary,models\edr\dbt_artifacts\dbt_models.sql,edr\dbt_artifacts\dbt_models.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,45d79c1966a899e12adf9c75f0af3564
model.elementary.model_run_results,model_run_results,99fba47e42516fbdc31e2546f687e3f780f21eaa5ac303e1ed22d23262ac5ec9,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.edr_time_trunc""]","[""model.elementary.dbt_models"", ""model.elementary.dbt_run_results""]","Run results of dbt models, enriched with models metadata. Each row is the result of a single model. This is a view that joins data from `dbt_run_results` and `dbt_models`.
",model_run_results,elementary,models\edr\run_results\model_run_results.sql,edr\run_results\model_run_results.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,7dd80f7f7c48983103e2a1511b413f6d
model.elementary.dbt_run_results,dbt_run_results,9b2317042e53c953bc3839ef18c3e197d2c347ece4d5968731093dd324b349c5,incremental,[],"{""deprecated_columns"": [{""name"": ""compiled_sql"", ""data_type"": ""string"", ""description"": ""The compiled SQL executed against the database.""}], ""dedup_by_column"": ""model_execution_id"", ""timestamp_column"": ""created_at"", ""prev_timestamp_column"": ""generated_at""}",[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_run_results_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type""]",[],"Run results of dbt invocations, inserted at the end of each invocation. Each row is the invocation result of a single resource (model, test, snapshot, etc). New data is loaded to this model on an on-run-end hook named 'elementary.upload_run_results' from each invocation that produces a result object. This is an incremental model.
",dbt_run_results,elementary,models\edr\dbt_artifacts\dbt_run_results.sql,edr\dbt_artifacts\dbt_run_results.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,3c89cb1455663bbaec32a8d0905580bb
model.elementary.dbt_seeds,dbt_seeds,e768cbfb8ca753297d627bc51d661b4d4278e48650f9479d6a64431cb291a551,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_seeds_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_seeds""]",[],"",dbt_seeds,elementary,models\edr\dbt_artifacts\dbt_seeds.sql,edr\dbt_artifacts\dbt_seeds.sql,,2024-03-08 10:52:44,fcff5a912bbba5295f87f5b970035032
model.elementary.dbt_snapshots,dbt_snapshots,84129810bfd9a5181f3d1552ba85143966cd16d64b9fc9169c1b089eab0c6ac2,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_models_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_snapshots""]",[],"Metadata about snapshots in the project, including configuration and properties from the dbt graph. Each row contains information about a single snapshot. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_snapshots,elementary,models\edr\dbt_artifacts\dbt_snapshots.sql,edr\dbt_artifacts\dbt_snapshots.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,3359711b4584a599dfdd16f6593e2ccc
model.elementary.dbt_sources,dbt_sources,1abd5241398ed596cf8fcf85b84a45835ae0a3e67069f00d7b519757b009cbb3,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_sources_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_sources""]",[],"Metadata about sources in the project, including configuration and properties from the dbt graph. Each row contains information about a single source. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_sources,elementary,models\edr\dbt_artifacts\dbt_sources.sql,edr\dbt_artifacts\dbt_sources.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,319e024d7543b2d35e9a42c5bd8202c5
model.elementary.dbt_tests,dbt_tests,e3e387b5d7f7df8bdfdc358f4458dd69b8311803d989c7a0a571314bb1f1dfc2,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_tests_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_tests""]",[],"Metadata about tests in the project, including configuration and properties from the dbt graph. Each row contains information about a single test. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_tests,elementary,models\edr\dbt_artifacts\dbt_tests.sql,edr\dbt_artifacts\dbt_tests.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,54801003d8ffc40f75f8fa4b904121ca
