id,full_table_name,column_name,metric_name,metric_value,source_value,bucket_start,bucket_end,bucket_duration_hours,updated_at,dimension,dimension_value,metric_properties,created_at
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_models""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_MODELS,,row_count,52,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""elementary_test_results""",POSTGRES.TRANSFORMED_ELEMENTARY.ELEMENTARY_TEST_RESULTS,,build_timestamp,1707909295.592527,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""elementary_test_results""",POSTGRES.TRANSFORMED_ELEMENTARY.ELEMENTARY_TEST_RESULTS,,row_count,0,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""schema_columns_snapshot""",POSTGRES.TRANSFORMED_ELEMENTARY.SCHEMA_COLUMNS_SNAPSHOT,,build_timestamp,1707909295.614529,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""schema_columns_snapshot""",POSTGRES.TRANSFORMED_ELEMENTARY.SCHEMA_COLUMNS_SNAPSHOT,,row_count,0,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_tests""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_TESTS,,build_timestamp,1707909295.763527,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_tests""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_TESTS,,row_count,0,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""metadata""",POSTGRES.TRANSFORMED_ELEMENTARY.METADATA,,build_timestamp,1707909295.756528,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""metadata""",POSTGRES.TRANSFORMED_ELEMENTARY.METADATA,,row_count,1,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_sources""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCES,,build_timestamp,1707909295.814524,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_sources""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCES,,row_count,10,,,,,2024-02-14 12:14:55.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""test_result_rows""",POSTGRES.TRANSFORMED_ELEMENTARY.TEST_RESULT_ROWS,,build_timestamp,1707909298.423134,,,,,2024-02-14 12:14:58.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""test_result_rows""",POSTGRES.TRANSFORMED_ELEMENTARY.TEST_RESULT_ROWS,,row_count,0,,,,,2024-02-14 12:14:58.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed"".""grouped_transactions_unioned_with_original""",POSTGRES.TRANSFORMED.GROUPED_TRANSACTIONS_UNIONED_WITH_ORIGINAL,,build_timestamp,1707909298.859953,,,,,2024-02-14 12:14:58.000000,,,,2024-02-14 12:14:58.976453
